State,County,GeoFIPS,Region,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
IL,Adams," ""17001""",3,Per capita personal income (dollars) 2/,Dollars,3592,3835,4287,4645,5300,5502,6168,6587,7160,7774,8744,9255,10300,11162,11403,12491,12934,13506,14076,15118,15936,16683,16949,18154,18435,19537,20396,21580,22445,23457,23790,25307,26473,27189,28549,30083,30008,31240,33167,35147,34869,36633,38085,39527,40084,41142,42578,43315,44801,46880,47898
IL,Alexander," ""17003""",3,Per capita personal income (dollars) 2/,Dollars,2448,2688,2979,3142,3405,4072,4659,4896,5300,5622,6194,6602,7288,8115,8772,9122,9942,9668,9938,10458,11791,11702,12395,13340,13713,14152,14726,15677,16539,16644,16914,17351,17946,18403,19461,20258,20893,21418,22552,24116,25270,26712,26529,26391,30130,30048,31771,32916,33847,35446,37723
IL,Bond," ""17005""",3,Per capita personal income (dollars) 2/,Dollars,3238,3452,3700,4086,4773,4884,5825,6178,6784,7370,7960,8031,9073,9676,9823,11275,11496,12034,12521,13435,14605,14860,14962,16680,17454,18352,17942,19072,20121,20892,22573,23823,25457,25135,25498,26641,26407,27271,26958,28540,28595,29721,30805,31042,31727,31900,33568,34870,35156,36894,37871
IL,Boone," ""17007""",3,Per capita personal income (dollars) 2/,Dollars,4276,4483,4978,5172,5735,6058,6760,7147,7445,8531,9300,9774,10822,11014,11785,13780,14777,15656,16126,17753,18478,18792,18627,19842,20566,22409,23515,24391,25306,26559,28592,28398,28251,28508,29000,29293,30771,33172,34603,35705,34161,34937,37247,38917,39575,40445,42066,43684,45118,47006,47682
IL,Brown," ""17009""",3,Per capita personal income (dollars) 2/,Dollars,2994,3262,3537,4345,5281,5209,6401,6130,6612,7779,8494,8179,9593,10168,9445,10836,11398,11806,11678,10968,12399,11695,11413,12961,13809,14172,14373,15130,15524,16251,15510,16645,18554,18217,19380,21333,20128,20579,21432,21904,23294,25259,26438,28018,30107,28933,30198,31525,33186,35416,37500
IL,Bureau," ""17011""",3,Per capita personal income (dollars) 2/,Dollars,3904,3972,4345,4812,5668,6079,7217,7488,7665,8793,9612,9309,11329,11852,11333,13535,14243,14025,14748,14830,16176,16722,17366,19238,19293,20440,19859,21882,22501,22865,23691,26205,28231,28785,28841,30404,29748,30539,32521,34346,33205,34145,37862,38168,41973,39606,38824,39610,40394,41908,43040
IL,Calhoun," ""17013""",3,Per capita personal income (dollars) 2/,Dollars,3050,3539,3422,3851,4652,4880,5817,6109,6395,7375,7744,7726,8348,8760,8989,10807,11063,11931,12854,12866,15028,15220,14169,16206,16880,17261,18083,19919,20944,22308,22117,23414,24096,24591,25311,27194,27531,28689,29708,33197,33140,34016,35885,35530,36473,36127,37062,38631,41022,42062,43368
IL,Carroll," ""17015""",3,Per capita personal income (dollars) 2/,Dollars,4038,4249,4641,5089,5537,5877,6432,6983,6728,7202,8221,8344,9605,10751,10559,13283,14966,15158,14901,15171,15982,16545,16852,18743,18970,20728,20457,22143,22770,25127,24938,25796,26572,26185,27248,27783,28532,30411,33491,34632,34383,36094,39961,38147,44421,42264,41806,44065,42884,44532,45342
IL,Cass," ""17017""",3,Per capita personal income (dollars) 2/,Dollars,3805,4012,4245,4678,5507,5841,6524,6525,6748,7991,8623,8377,10070,10777,10595,11703,12086,12855,13626,12502,15010,15801,16265,17744,17883,18874,18835,20910,22176,22997,23295,24478,25266,24834,25864,27591,26714,27435,28860,31601,32231,33495,35331,34396,37602,37403,37393,37910,39344,40889,41954
IL,Champaign," ""17019""",3,Per capita personal income (dollars) 2/,Dollars,3920,3986,4425,4773,5276,5686,6716,7009,7445,7983,8950,9515,10545,11272,11871,13132,13759,14364,15083,15910,17240,18149,18213,19128,19563,20381,21281,22182,23161,24217,25196,26959,28574,29045,29592,30653,30683,31920,33334,35133,36835,38140,39239,40063,41435,42848,44017,43155,43514,44597,45967
