State,County,GeoFIPS,Region,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
IL,Adams," ""17001""",3,Personal income (thousands of dollars),Thousands of dollars,254479,271131,302335,334037,385498,400075,446121,473878,510360,556895,623222,662565,734653,794467,802684,868160,886592,910399,940678,1008211,1057473,1102881,1130301,1214883,1245449,1336227,1399913,1482114,1542301,1611057,1627937,1725522,1800524,1842786,1920388,2010116,2008106,2096407,2220305,2352872,2337558,2460295,2559708,2653797,2685601,2755082,2845676,2879336,2959446,3076377,3134202
IL,Alexander," ""17003""",3,Personal income (thousands of dollars),Thousands of dollars,30459,32288,36269,38505,41923,49242,57674,62403,66913,68691,76093,81074,89811,97834,104805,108959,116095,110355,112718,116469,127056,123798,130368,139428,140767,142272,147100,155026,159746,160311,162731,168027,172138,176518,180088,186087,186240,186983,192862,204045,209612,219201,212019,203659,218082,212828,214834,212606,212490,214127,217324
IL,Bond," ""17005""",3,Personal income (thousands of dollars),Thousands of dollars,45517,48484,53320,61087,72857,75911,90714,97849,108379,115459,129195,130755,149610,156100,156499,177559,179332,186981,194117,205841,219126,223306,226906,254382,268715,295024,306812,329319,349660,367442,395750,420690,447685,445773,457938,482222,475015,490995,487322,511330,507478,528649,546046,544390,549868,544526,560111,576961,585283,613806,622062
IL,Boone," ""17007""",3,Personal income (thousands of dollars),Thousands of dollars,106828,113982,127652,136500,155062,165886,185301,197434,208751,244706,271904,281003,315774,321739,343328,402036,435666,463867,477978,534549,560998,582206,592539,652808,697871,790310,861865,925780,983219,1058737,1167831,1194212,1220987,1271041,1341030,1402941,1530104,1718185,1851666,1935629,1849977,1890144,2016241,2091197,2127014,2172470,2253843,2340140,2414402,2513863,2553079
IL,Brown," ""17009""",3,Personal income (thousands of dollars),Thousands of dollars,16954,18293,20405,24233,29264,28916,35962,34781,37322,42362,46979,44576,53728,56820,54084,63077,65378,66288,66285,62068,71433,68428,70428,80684,84996,89948,92002,102354,105796,112490,107764,116135,129584,126151,135602,148646,139228,141479,146447,151047,162194,174770,181948,193045,206654,197669,203927,209234,219323,232434,246677
IL,Bureau," ""17011""",3,Personal income (thousands of dollars),Thousands of dollars,150575,151906,161941,178306,214251,229312,273050,283694,293055,339762,370426,364939,447494,459750,435173,515111,537033,520724,540163,537357,579185,596801,620358,687994,695243,736724,715383,783697,807412,814480,841659,929126,993192,1009117,1011729,1062634,1040494,1074443,1143200,1204772,1164094,1193685,1310975,1310764,1431604,1340902,1300243,1322808,1338545,1381238,1404301
IL,Calhoun," ""17013""",3,Personal income (thousands of dollars),Thousands of dollars,17434,19959,18946,21640,26450,27721,33581,35636,38000,42191,45088,45435,49489,50274,51229,61645,61409,65596,69155,69770,80025,81277,75254,84967,88974,88410,91751,102505,107965,113593,112641,119085,121565,122636,129645,139723,142142,148438,153295,168772,168417,173345,181185,177115,182658,177926,180121,188095,199000,203117,205521
IL,Carroll," ""17015""",3,Personal income (thousands of dollars),Thousands of dollars,78156,81648,88756,99482,107592,113482,125768,134521,129542,138936,156902,156942,181539,199417,193666,239865,266408,265046,255601,257993,270675,277960,280522,311464,316225,349125,344839,374775,385842,426128,419290,428504,435917,427134,443244,447354,454060,482495,526943,541583,532114,555635,608569,576825,664938,624792,612117,643178,620742,637424,648615
IL,Cass," ""17017""",3,Personal income (thousands of dollars),Thousands of dollars,54397,57096,61294,68499,80481,85379,95565,97539,101344,118096,125278,126426,152061,159332,155342,168927,171899,178573,185731,169551,202181,212475,219760,238655,240005,255799,255106,284631,302743,315865,321356,334740,345566,336474,353667,376338,365179,373416,395350,431666,439086,456642,481524,461834,499849,489265,480232,480397,491482,503427,509620
IL,Champaign," ""17019""",3,Personal income (thousands of dollars),Thousands of dollars,629756,650738,727162,781335,882517,955772,1116937,1185521,1271166,1368901,1503866,1606824,1798323,1934070,2021773,2243491,2357722,2488091,2622282,2774884,2982427,3145890,3195727,3408124,3415763,3520376,3678606,3882305,4090839,4286488,4501267,4853711,5199161,5350063,5534083,5781655,5850052,6187592,6554176,6941157,7365897,7686882,7973184,8198013,8553138,8909936,9216417,9071092,9156482,9361788,9638732
