State,County,GeoFIPS,Region,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
IL,Adams," ""17001""",3,Population (persons) 1/,Number of persons,70840,70696,70526,71906,72739,72721,72325,71944,71281,71637,71274,71588,71325,71174,70392,69501,68547,67405,66829,66691,66356,66109,66689,66920,67558,68394,68636,68680,68715,68681,68430,68183,68014,67776,67267,66818,66920,67106,66943,66943,67039,67160,67211,67139,66999,66966,66835,66475,66057,65623,65435
IL,Alexander," ""17003""",3,Population (persons) 1/,Number of persons,12442,12010,12173,12253,12311,12094,12379,12746,12624,12219,12285,12280,12323,12056,11948,11945,11677,11415,11342,11137,10776,10579,10518,10452,10265,10053,9989,9889,9659,9632,9621,9684,9592,9592,9254,9186,8914,8730,8552,8461,8295,8206,7992,7717,7238,7083,6762,6459,6278,6041,5761
IL,Bond," ""17005""",3,Population (persons) 1/,Number of persons,14056,14047,14411,14950,15265,15544,15573,15838,15975,15667,16230,16282,16489,16132,15932,15748,15599,15538,15503,15321,15004,15027,15165,15251,15396,16076,17100,17267,17378,17588,17532,17659,17586,17735,17960,18101,17988,18004,18077,17916,17747,17787,17726,17537,17331,17070,16686,16546,16648,16637,16426
IL,Boone," ""17007""",3,Population (persons) 1/,Number of persons,24986,25427,25643,26392,27038,27383,27413,27625,28038,28686,29238,28750,29179,29213,29133,29175,29483,29629,29641,30111,30361,30981,31810,32901,33933,35268,36651,37956,38853,39864,40844,42052,43220,44585,46242,47893,49725,51797,53512,54211,54154,54101,54131,53735,53747,53714,53579,53570,53513,53480,53544
IL,Brown," ""17009""",3,Population (persons) 1/,Number of persons,5662,5608,5769,5577,5541,5551,5618,5674,5645,5446,5531,5450,5601,5588,5726,5821,5736,5615,5676,5659,5761,5851,6171,6225,6155,6347,6401,6765,6815,6922,6948,6977,6984,6925,6997,6968,6917,6875,6833,6896,6963,6919,6882,6890,6864,6832,6753,6637,6609,6563,6578
IL,Bureau," ""17011""",3,Population (persons) 1/,Number of persons,38567,38246,37273,37055,37803,37722,37836,37887,38232,38642,38537,39204,39501,38790,38399,38058,37704,37127,36625,36234,35805,35690,35723,35762,36036,36043,36023,35814,35884,35621,35527,35456,35181,35057,35080,34951,34977,35183,35153,35078,35058,34959,34625,34342,34108,33856,33491,33396,33137,32959,32628
IL,Calhoun," ""17013""",3,Population (persons) 1/,Number of persons,5717,5639,5536,5620,5686,5681,5773,5833,5942,5721,5822,5881,5928,5739,5699,5704,5551,5498,5380,5423,5325,5340,5311,5243,5271,5122,5074,5146,5155,5092,5093,5086,5045,4987,5122,5138,5163,5174,5160,5084,5082,5096,5049,4985,5008,4925,4860,4869,4851,4829,4739
IL,Carroll," ""17015""",3,Population (persons) 1/,Number of persons,19356,19218,19123,19548,19432,19311,19555,19264,19255,19291,19086,18809,18901,18548,18342,18058,17801,17485,17153,17006,16936,16800,16646,16618,16670,16843,16857,16925,16945,16959,16813,16611,16405,16312,16267,16102,15914,15866,15734,15638,15476,15394,15229,15121,14969,14783,14642,14596,14475,14314,14305
IL,Cass," ""17017""",3,Population (persons) 1/,Number of persons,14295,14232,14438,14644,14615,14618,14649,14948,15018,14779,14529,15092,15100,14785,14662,14434,14223,13891,13631,13562,13470,13447,13511,13450,13421,13553,13544,13612,13652,13735,13795,13675,13677,13549,13674,13640,13670,13611,13699,13660,13623,13633,13629,13427,13293,13081,12843,12672,12492,12312,12147
IL,Champaign," ""17019""",3,Population (persons) 1/,Number of persons,160662,163275,164331,163692,167269,168103,166320,169134,170732,171471,168026,168880,170530,171586,170311,170839,171355,173215,173857,174411,172993,173341,175468,178175,174600,172731,172859,175018,176626,177004,178652,180041,181956,184198,187013,188617,190659,193844,196621,197570,199968,201546,203197,204630,206425,207942,209382,210198,210425,209918,209689
IL,Christian," ""17021""",3,Population (persons) 1/,Number of persons,36172,36032,36471,37008,36983,36621,36959,37334,37290,37279,36477,36520,36756,36279,36391,36161,35700,35199,35098,34834,34535,34447,35039,35320,35392,35498,35706,35664,35600,35523,35398,35383,35240,35181,35172,35308,35165,35076,35034,34974,34808,34763,34702,34518,34148,33813,33463,33230,33007,32653,32304
IL,Clark," ""17023""",3,Population (persons) 1/,Number of persons,16294,16230,16343,16326,16147,16293,16385,16257,16608,16594,16562,16970,17167,17071,16897,16713,16555,16215,16103,16115,15974,15930,15943,16083,16290,16479,16530,16671,16768,16948,17011,16969,16829,16844,16750,16718,16728,16669,16682,16634,16431,16291,16202,16259,16095,16047,15868,15857,15812,15600,15441
IL,Clay," ""17025""",3,Population (persons) 1/,Number of persons,14881,14725,14774,14933,14952,15259,15259,15547,15549,15186,15503,15374,15712,15706,15595,15487,15180,15045,14729,14626,14542,14472,14550,14451,14472,14492,14574,14589,14607,14723,14575,14409,14260,14228,14194,14142,14134,14061,13975,13971,13826,13826,13725,13714,13554,13445,13401,13314,13270,13266,13184
IL,Clinton," ""17027""",3,Population (persons) 1/,Number of persons,27982,28306,28361,29051,29432,29652,29888,30613,31096,31544,32143,32838,33666,33597,33648,33935,33781,33869,33720,33835,33879,33962,34029,34237,34750,34885,35139,35227,35264,35589,35533,35565,35792,36003,36231,36495,36681,37051,37160,37472,37459,37843,38031,37918,37731,37646,37665,37599,37645,37697,37562
IL,Coles," ""17029""",3,Population (persons) 1/,Number of persons,47464,47984,49134,49809,50354,49903,50318,52271,52668,52240,52825,52470,53221,52857,52780,52685,52594,52272,52000,52030,51765,51671,51895,52505,52866,53421,52873,53132,53371,53455,53447,53114,52549,52454,52974,53182,53016,53359,53492,53454,53612,53866,53624,53318,53053,52523,52179,51783,51353,50829,50621
IL,Cook," ""17031""",3,Population (persons) 1/,Number of persons,5473709,5497493,5523071,5505880,5452173,5428376,5398312,5385737,5367293,5340773,5287167,5248878,5220295,5222484,5213812,5220920,5201817,5187228,5172398,5140402,5124344,5109524,5149050,5199839,5235344,5262162,5283463,5306511,5322117,5345537,5365344,5373418,5360562,5328775,5294739,5252021,5207615,5165495,5154235,5161831,5181728,5199016,5219780,5239351,5252875,5254675,5244088,5224272,5200821,5171960,5150233
IL,Crawford," ""17033""",3,Population (persons) 1/,Number of persons,19946,19735,19527,19766,19827,19915,20264,20579,20693,20894,21004,20925,21318,21292,21229,21079,20896,20740,20404,20058,19787,19390,20046,20482,20649,20856,20856,20891,20782,20717,20623,20411,20363,20204,20106,20059,20051,19966,19886,19831,19845,19801,19776,19588,19435,19285,19255,19133,18975,18830,18667
IL,Cumberland," ""17035""",3,Population (persons) 1/,Number of persons,9819,9736,9709,10144,10303,10379,10569,10648,10879,10953,10931,11074,11107,10966,10955,10927,10879,10792,10753,10744,10659,10692,10773,10832,10940,11036,11096,11198,11186,11170,11186,11318,11238,11171,11066,11078,11057,11103,11077,11100,11044,11053,11080,10950,10904,10923,10860,10868,10880,10804,10766
IL,DeKalb," ""17037""",3,Population (persons) 1/,Number of persons,69686,71630,71744,72202,70942,71378,72649,73141,73705,72924,74045,74699,74853,74399,73711,72697,72978,74011,74844,75789,76625,78347,79564,80421,81682,82850,82810,83947,85078,86402,88010,89237,90545,91951,94096,96106,98438,101437,103746,104601,105146,105145,104450,104365,104202,104560,104195,104080,104309,104349,104897
IL,De Witt," ""17039""",3,Population (persons) 1/,Number of persons,17003,16957,17029,17363,17583,17386,17602,17698,17910,18138,18093,18126,18168,17861,17673,17584,17442,17136,16741,16620,16543,16554,16613,16677,16726,16854,16824,16736,16757,16781,16764,16800,16792,16673,16686,16671,16716,16792,16742,16733,16538,16590,16548,16491,16373,16217,16184,16137,15906,15794,15638
IL,Douglas," ""17041""",3,Population (persons) 1/,Number of persons,19065,18955,18934,19198,19286,19497,19819,20155,19970,19850,19793,19816,19950,19793,19763,19590,19552,19663,19665,19534,19444,19460,19457,19460,19545,19648,19777,19793,19909,19918,19905,19964,20032,20017,20010,20100,20101,20111,20061,19970,19949,19983,19871,19888,19861,19906,19835,19727,19629,19458,19465
IL,DuPage," ""17043""",3,Population (persons) 1/,Number of persons,472417,492894,506444,518907,539519,550404,567815,580200,602873,621487,636559,661290,669770,682289,690201,701251,714497,726512,741405,757986,771288,785768,801291,815497,830865,845797,855531,863785,874404,886168,898083,906284,911474,913880,914078,913940,911378,908685,907426,909798,912732,917983,924831,928666,932231,933425,933609,931256,930265,927247,922921
IL,Edgar," ""17045""",3,Population (persons) 1/,Number of persons,21752,21569,21496,21578,21591,21513,21620,21689,21746,21512,21775,21794,22034,21729,21674,21251,20968,20729,20386,20016,19810,19554,19496,19507,19746,19911,20132,20303,20090,20020,19821,19582,19465,19249,19085,19041,18987,18986,18929,18768,18668,18508,18391,18158,17941,17807,17603,17519,17390,17360,17161
