state,county,office,party,candidate,votes,STATEFP,STATENAME,COUNTYFP,NEIGHBORS
KY,Adair,President,Republican Party,Donald J. Trump,6637.0,21,Kentucky,001,"Taylor, Casey, Russell, Metcalfe, Green, Cumberland"
KY,Adair,President,Democratic Party,Hillary Clinton,1323.0,21,Kentucky,001,"Taylor, Casey, Russell, Metcalfe, Green, Cumberland"
KY,Adair,President,Libertarian Party,Gary Johnson,141.0,21,Kentucky,001,"Taylor, Casey, Russell, Metcalfe, Green, Cumberland"
KY,Adair,President,,Evan Mcmullin,92.0,21,Kentucky,001,"Taylor, Casey, Russell, Metcalfe, Green, Cumberland"
KY,Adair,President,Green Party ,Jill Stein,35.0,21,Kentucky,001,"Taylor, Casey, Russell, Metcalfe, Green, Cumberland"
KY,Adair,President,,Rocky De La Fuente,3.0,21,Kentucky,001,"Taylor, Casey, Russell, Metcalfe, Green, Cumberland"
KY,Adair,President,Constitution Party,Darrell Castle,0.0,21,Kentucky,001,"Taylor, Casey, Russell, Metcalfe, Green, Cumberland"
KY,Adair,President,,Write-In,2.0,21,Kentucky,001,"Taylor, Casey, Russell, Metcalfe, Green, Cumberland"
KY,Allen,President,Republican Party,Donald J. Trump,6466.0,21,Kentucky,003,"Sumner, Monroe, Warren, Simpson, Barren, Macon"
KY,Allen,President,Democratic Party,Hillary Clinton,1349.0,21,Kentucky,003,"Sumner, Monroe, Warren, Simpson, Barren, Macon"
KY,Allen,President,Libertarian Party,Gary Johnson,161.0,21,Kentucky,003,"Sumner, Monroe, Warren, Simpson, Barren, Macon"
KY,Allen,President,,Evan Mcmullin,63.0,21,Kentucky,003,"Sumner, Monroe, Warren, Simpson, Barren, Macon"
KY,Allen,President,Green Party ,Jill Stein,46.0,21,Kentucky,003,"Sumner, Monroe, Warren, Simpson, Barren, Macon"
KY,Allen,President,,Rocky De La Fuente,6.0,21,Kentucky,003,"Sumner, Monroe, Warren, Simpson, Barren, Macon"
KY,Allen,President,Constitution Party,Darrell Castle,2.0,21,Kentucky,003,"Sumner, Monroe, Warren, Simpson, Barren, Macon"
KY,Allen,President,,Write-In,3.0,21,Kentucky,003,"Sumner, Monroe, Warren, Simpson, Barren, Macon"
KY,Anderson,President,Republican Party,Donald J. Trump,8242.0,21,Kentucky,005,"Nelson, Woodford, Washington, Mercer, Spencer, Franklin, Shelby"
KY,Anderson,President,Democratic Party,Hillary Clinton,2634.0,21,Kentucky,005,"Nelson, Woodford, Washington, Mercer, Spencer, Franklin, Shelby"
KY,Anderson,President,Libertarian Party,Gary Johnson,319.0,21,Kentucky,005,"Nelson, Woodford, Washington, Mercer, Spencer, Franklin, Shelby"
KY,Anderson,President,,Evan Mcmullin,165.0,21,Kentucky,005,"Nelson, Woodford, Washington, Mercer, Spencer, Franklin, Shelby"
KY,Anderson,President,Green Party ,Jill Stein,54.0,21,Kentucky,005,"Nelson, Woodford, Washington, Mercer, Spencer, Franklin, Shelby"
KY,Anderson,President,,Rocky De La Fuente,6.0,21,Kentucky,005,"Nelson, Woodford, Washington, Mercer, Spencer, Franklin, Shelby"
KY,Anderson,President,Constitution Party,Darrell Castle,2.0,21,Kentucky,005,"Nelson, Woodford, Washington, Mercer, Spencer, Franklin, Shelby"
